Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.15,34,0.029,Completed
SSI,314,50,50,0.15,35,0.029,Completed
SSI,314,50,50,0.15,36,0.030,Completed
SSI,314,50,50,0.15,37,0.031,Completed
SSI,314,50,50,0.15,38,0.033,Completed
SSI,314,50,50,0.15,39,0.028,Completed
SSI,314,50,50,0.15,40,0.020,Completed
SSI,314,50,50,0.15,41,0.023,Completed
SSI,314,50,50,0.15,42,0.030,Completed
SSI,314,50,50,0.15,43,0.029,Completed
SSI,314,50,50,0.15,44,0.029,Completed
SSI,314,50,50,0.15,45,0.027,Completed
SSI,314,50,50,0.15,46,0.033,Completed
SSI,314,50,50,0.15,47,0.029,Completed
SSI,314,50,50,0.15,48,0.029,Completed
SSI,314,50,50,0.15,49,0.029,Completed
SSI,314,50,50,0.15,50,0.026,Completed
SSI,314,50,50,0.15,51,0.031,Completed
SSI,314,50,50,0.15,52,0.029,Completed
SSI,314,50,50,0.15,53,0.035,Completed
SSI,314,50,50,0.15,54,0.027,Completed
SSI,314,50,50,0.15,55,0.030,Completed
SSI,314,50,50,0.15,56,0.029,Completed
SSI,314,50,50,0.15,57,0.029,Completed
SSI,314,50,50,0.15,58,0.026,Completed
SSI,314,50,50,0.15,59,0.030,Completed
SSI,314,50,50,0.15,60,0.034,Completed
SSI,314,50,50,0.15,61,0.033,Completed
SSI,314,50,50,0.15,62,0.029,Completed
SSI,314,50,50,0.15,63,0.030,Completed
SSI,314,50,50,0.15,64,0.028,Completed
SSI,314,50,50,0.15,65,0.028,Completed
SSI,314,50,50,0.15,66,0.027,Completed
SSI,314,50,50,0.15,67,0.029,Completed
SSI,314,50,50,0.15,68,0.030,Completed
SSI,314,50,50,0.15,69,0.032,Completed
SSI,314,50,50,0.15,70,0.032,Completed
SSI,314,50,50,0.15,71,0.030,Completed
SSI,314,50,50,0.15,72,0.025,Completed
SSI,314,50,50,0.15,73,0.023,Completed
